"O1, 规范教学模型，打造【录播+教研周直播】高质量，稳定的教学模型",,
,KR1,【人效比】使用AI率100%、人效比增长100%，每个人工作的70%要使AI完成，人均熟练使用5种AI工具，每个人具备一个AI工作流助理
,KR2,【教研能带课】80%以上教研具备课程转化能力（转化率达标）
,KR3,【录播课】录播课课时占比50%以上；录播课迭代周期缩短至48小时
"O2, 完成AI点评体系搭建，AI点评系统代替人工点评官，提升成材率",,
,KR1,【AI题库】搭建AI点评题库，训练AI点评准确度，每门课程题库达到5000道，让考核更具真实性
,KR2,【AI评级】通过学员作业、半期考试、期末考试，确定学员水平；不同学员水平对应不同交付机会
,KR3,【点评官班主任二合一】学员成绩跟班主任绩效挂钩，取消点评官，达到两者合二为一
"O3, 成立多SKU创新测试，完成10个新SKU（GMV超200)",,
,KR1,【创新团队】创新团队组建，专人参与，不兼任其他工作，专门测试新项目，跑通一个sku后交给专业运营团队，或者直接自己继续运营（创新团队可以再补充新人）
,KR2,【会员卡】学员订阅制产品，将有价值的学员聚集到会员体系内，作为新品测试的种子用户池
,KR3,【产品超市】建立产品超市，引入不同课程类型，从多产品中筛选出学员适配度较高的产品做深度测试
"O4, 完成第二曲线大健康项目0-1测试",,
,KR1,打磨体验课内容，搭建转化率稳定的销转体系
,KR2,打造大健康训练营，学员满意度90%以上，开营后退费率3%以内。
,KR3,搭建健康类产品的电商体系？
"O5, 打造“超级教研个体”，实现从内容型教研到AI产品型教研的转型，构建可持续的教研组织与人才梯队体系",,
,KR1,【AI超级个体】教研全员完成AI超级个体认证，产能提升2倍
,KR2,【能复用】50%以上教研可跨产品线复用
,KR3,新教研3个月内完成答疑直播课程认证；6个月完成转化课程认证